MsgID.STATE,1518699055.2088041,False,False
MsgID.GLOBAL_POSITION,1518699064.3986351,-121.9939412,37.4137739,2.9580000
MsgID.LOCAL_VELOCITY,1518699064.3986351,3.9200000,0.0900000,0.1600000
MsgID.LOCAL_POSITION,1518699064.3996539,3.9625278,0.0892878,-2.9586504
MsgID.LOCAL_VELOCITY,1518699064.3996539,3.9216518,0.0936332,0.1630092
MsgID.LOCAL_POSITION,1518699064.6491296,4.6718001,0.3392442,-2.9280138
MsgID.LOCAL_VELOCITY,1518699064.6491296,2.5259373,0.2062603,-0.0029843
MsgID.GLOBAL_POSITION,1518699064.6501288,-121.9939384,37.4137802,2.9280000
MsgID.LOCAL_VELOCITY,1518699064.6501288,2.5200000,0.2000000,0.0000000
MsgID.LOCAL_POSITION,1518699064.8996606,5.1876101,0.4165749,-2.9422154
MsgID.LOCAL_VELOCITY,1518699064.8996606,0.9472553,0.1299706,-0.1744588
MsgID.GLOBAL_POSITION,1518699064.9001696,-121.9939375,37.4137849,2.9420000
MsgID.LOCAL_VELOCITY,1518699064.9001696,0.9400000,0.1200000,-0.1700000
MsgID.GLOBAL_POSITION,1518699065.1486609,-121.9939367,37.4137860,2.9620000
MsgID.LOCAL_VELOCITY,1518699065.1486609,0.2400000,0.0100000,-0.1800000
MsgID.LOCAL_POSITION,1518699065.1491621,5.3162489,0.4902425,-2.9626572
MsgID.LOCAL_VELOCITY,1518699065.1491621,0.2423989,0.0189204,-0.1890988
MsgID.STATE,1518699065.3849378,True,False
MsgID.GLOBAL_HOME,1518699065.3866656,-121.9939422,37.4137382,0.0000000
MsgID.GLOBAL_POSITION,1518699065.4001601,-121.9939381,37.4137863,2.9560000
MsgID.LOCAL_VELOCITY,1518699065.4001601,0.0500000,-0.0200000,-0.0900000
MsgID.LOCAL_POSITION,1518699065.4006636,5.3487415,0.3645451,-2.9564295
MsgID.LOCAL_VELOCITY,1518699065.4006636,0.0521545,-0.0239183,-0.0990637
MsgID.GLOBAL_POSITION,1518699065.6502452,-121.9939392,37.4137864,2.9470000
MsgID.LOCAL_VELOCITY,1518699065.6502452,0.5500000,0.0000000,-0.0800000
MsgID.LOCAL_POSITION,1518699065.6522460,5.3510313,0.2650179,-2.9478509
MsgID.LOCAL_VELOCITY,1518699065.6522460,0.5562608,0.0026359,-0.0895078
MsgID.LOCAL_POSITION,1518699065.9007497,5.5971913,0.4514271,-2.9445314
MsgID.LOCAL_VELOCITY,1518699065.9007497,1.9317672,0.0702026,-0.1900211
MsgID.GLOBAL_POSITION,1518699065.9017799,-121.9939371,37.4137886,2.9440000
MsgID.LOCAL_VELOCITY,1518699065.9017799,1.9300000,0.0700000,-0.1900000
MsgID.GLOBAL_POSITION,1518699066.1507463,-121.9939367,37.4137957,2.9640000
